"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Hablo español (0)","UPDATE-Hablo español (0)","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A15U7DSTCY2Q9Q","https://requester.mturk.com/workers/A15U7DSTCY2Q9Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","33","","Never Blocked","",""
"A165NT5C5RXGJQ","https://requester.mturk.com/workers/A165NT5C5RXGJQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A18HLCF8XJGV39","https://requester.mturk.com/workers/A18HLCF8XJGV39","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A18JTILA9KVVJ4","https://requester.mturk.com/workers/A18JTILA9KVVJ4","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A19U9IEL6VXDOU","https://requester.mturk.com/workers/A19U9IEL6VXDOU","2","2","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1A6P3E6P6ZHLU","https://requester.mturk.com/workers/A1A6P3E6P6ZHLU","4","4","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1AI7A02IO3QWC","https://requester.mturk.com/workers/A1AI7A02IO3QWC","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1B2BHTJ8Y1QQN","https://requester.mturk.com/workers/A1B2BHTJ8Y1QQN","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1BA17SQL5FWAF","https://requester.mturk.com/workers/A1BA17SQL5FWAF","4","4","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1BJP83UKUKIMD","https://requester.mturk.com/workers/A1BJP83UKUKIMD","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1CH3TODZNQCES","https://requester.mturk.com/workers/A1CH3TODZNQCES","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1CSDIX05PK9V","https://requester.mturk.com/workers/A1CSDIX05PK9V","1","1","100.00%","0","0","0.00%","0","0","0.00%","66","","Never Blocked","",""
"A1DS70CAH91526","https://requester.mturk.com/workers/A1DS70CAH91526","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1DWT5G0UCDY0N","https://requester.mturk.com/workers/A1DWT5G0UCDY0N","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1FGEK2Y0ZQEAM","https://requester.mturk.com/workers/A1FGEK2Y0ZQEAM","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1IX6Q3KQM8HYH","https://requester.mturk.com/workers/A1IX6Q3KQM8HYH","6","6","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1IZ4NX41GKU4X","https://requester.mturk.com/workers/A1IZ4NX41GKU4X","9","9","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1JX3IY1SALYJL","https://requester.mturk.com/workers/A1JX3IY1SALYJL","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1JZKK5H7M4V3","https://requester.mturk.com/workers/A1JZKK5H7M4V3","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
"A1K8O36N2ZDCXW","https://requester.mturk.com/workers/A1K8O36N2ZDCXW","1","1","100.00%","0","0","0.00%","0","0","0.00%","100","","Never Blocked","",""
